,custid,region,townsize,gender,agecat,edcat,jobcat,empcat,retire,lninc,inccat,debtinc,lncreddebt,lnothdebt,marital,spousedcat,reside,hometype,addresscat,carcatvalue,telecommute,reason,cardspent,tenure,churn,longmon,tollmon,cardmon,wiremon,multline,voice,internet,callwait,forward,confer,ebill,owntv,ownpc
498,7201-MHZOOH-HAG,Zone 1,"> 250,000",Female,>65,Some college,"Precision Production, Craft, Repair",More than 15,Yes,3.713572066704308,$25 - $49,16.1,1.1063350578386817,1.274731875164143,Married,High school degree,2.0,Multiple-Family,More than 25,Economy,Yes,Prices,59.68,71.0,No,33.5,31.25,25.0,46.15,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes
499,1068-MWHNDT-1WC,Zone 5,"2,500-9,999",Male,>65,Post-undergraduate degree,"Operation, Fabrication, General Labor",More than 15,Yes,3.4657359027997265,$25 - $49,6.4,-0.7615459428504349,0.45809297821990047,Unmarried,,1.0,Multiple-Family,More than 25,Economy,Yes,,189.64000000000001,41.0,Yes,12.95,39.5,15.0,119.1,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
500,8629-HYFVOR-FTL,Zone 3,"< 2,500",Female,50-64,Did not complete high school,Sales and Office,6 to 10,No,3.2188758248682006,$25 - $49,6.6000000000000005,0.1833210571270382,-0.8011779247736504,Unmarried,,1.0,Single-family,4 to 7,Economy,No,,185.38,54.0,No,13.3,35.75,21.5,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
501,0804-IGMRBV-4TS,Zone 5,"2,500-9,999",Female,35-49,Some college,"Operation, Fabrication, General Labor",6 to 10,No,3.044522437723423,Under $25,5.800000000000001,-0.288922841887914,-0.7573017754066474,Married,High school degree,2.0,Single-family,8 to 15,Economy,No,,171.84,14.0,Yes,3.1,15.0,8.0,22.9,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
502,2346-XOLOPT-KCY,Zone 2,"> 250,000",Female,50-64,Some college,"Precision Production, Craft, Repair",More than 15,No,4.553876891600541,$75 - $124,4.6,0.4105521471567216,1.0516429657606137,Unmarried,,1.0,Multiple-Family,16 to 25,Luxury,No,Prices,466.51,65.0,No,33.45,35.5,21.5,77.4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
503,6310-RDCRWA-S03,Zone 4,"< 2,500",Male,35-49,College degree,Service,2 to 5,No,3.912023005428146,$50 - $74,8.4,-0.7104968188950582,1.3106544469111456,Unmarried,,1.0,Multiple-Family,4 to 7,,No,,224.36,30.0,Yes,12.6,33.5,17.75,29.15,Yes,Yes,Dial-up,Yes,Yes,Yes,No,Yes,Yes
504,5875-LSAGSD-2V5,Zone 5,"2,500-9,999",Female,35-49,Did not complete high school,Managerial and Professional,6 to 10,No,4.276666119016055,$50 - $74,2.5,-0.8775509035582245,0.325122355425626,Married,High school degree,2.0,Single-family,8 to 15,Standard,No,,287.96,55.0,Yes,10.1,30.75,32.75,47.75,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
505,9872-RSYZHI-NQ9,Zone 3,"> 250,000",Female,50-64,Did not complete high school,Managerial and Professional,11 to 15,No,4.51085950651685,$75 - $124,9.8,1.480825601265838,1.5088274308143312,Married,Did not complete high school,2.0,Condominium/Townhouse,8 to 15,Standard,No,,599.03,5.0,No,4.8,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
506,8909-ZPTWKD-PQL,Zone 2,"50,000-249,999",Female,50-64,Post-undergraduate degree,Service,11 to 15,No,5.204006687076795,$125+,3.6999999999999997,1.2200042118564849,1.2080040678533746,Unmarried,,3.0,Single-family,8 to 15,Luxury,Yes,Prices,115.16,29.0,No,5.35,32.5,21.0,51.6,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
507,8522-GWNYLT-SIR,Zone 1,"> 250,000",Male,50-64,College degree,Managerial and Professional,6 to 10,No,4.430816798843313,$75 - $124,4.0,-0.7685606198498195,1.0634409656566688,Unmarried,,1.0,Multiple-Family,16 to 25,Standard,Yes,,153.58,32.0,No,4.75,0.0,0.0,25.4,Yes,No,Dial-up,No,No,No,Yes,Yes,Yes
508,2288-MSMKUW-O3Q,Zone 2,"50,000-249,999",Male,25-34,College degree,"Operation, Fabrication, General Labor",2 to 5,No,3.367295829986474,$25 - $49,8.5,0.44648548294974244,-0.10293013808611733,Unmarried,,1.0,Mobile Home,8 to 15,,No,,100.19,34.0,No,7.4,19.25,7.75,48.35,Yes,Yes,Other,Yes,No,Yes,Yes,Yes,Yes
509,1538-IPVOSQ-KVC,Zone 4,"< 2,500",Female,25-34,Post-undergraduate degree,Managerial and Professional,Less than 2,No,3.1354942159291497,Under $25,23.200000000000003,0.01374510179167176,1.46375527729767,Unmarried,,3.0,Single-family,8 to 15,,Yes,,305.86,8.0,Yes,5.25,0.0,0.0,43.2,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
510,8411-UWVCAW-3GO,Zone 2,"< 2,500",Female,50-64,Did not complete high school,Managerial and Professional,More than 15,No,4.330733340286331,$75 - $124,13.0,0.13634742388400423,2.167214295415283,Unmarried,,1.0,Single-family,16 to 25,Economy,No,,459.17,71.0,No,56.25,0.0,40.0,0.0,Yes,No,None,No,No,No,No,Yes,No
511,2527-KPBDLX-OHS,Zone 1,"> 250,000",Female,>65,Some college,Agricultural and Natural Resources,More than 15,No,5.961005339623274,$125+,5.8999999999999995,2.2044464368191994,2.626606423499534,Married,High school degree,3.0,Single-family,16 to 25,Luxury,Yes,,569.44,69.0,No,20.9,33.75,13.5,33.3,No,Yes,None,Yes,Yes,Yes,No,Yes,No
512,0369-CBIJVA-O7U,Zone 1,"50,000-249,999",Female,50-64,College degree,Sales and Office,6 to 10,No,3.4339872044851463,$25 - $49,18.5,0.10669063066252527,1.5309162141058252,Unmarried,,1.0,Single-family,16 to 25,Economy,No,,480.98,51.0,No,15.6,0.0,16.5,12.2,Yes,No,Dial-up,No,No,No,No,Yes,Yes
513,3983-GAWXAA-T08,Zone 1,"50,000-249,999",Male,25-34,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,3.8501476017100584,$25 - $49,0.2,-3.6627439805093105,-2.6832892981607506,Unmarried,,1.0,Multiple-Family,4 to 7,Standard,No,,481.37,3.0,Yes,3.85,13.5,5.5,0.0,No,No,None,No,No,No,No,Yes,No
514,4938-SFPDLA-W3W,Zone 3,"2,500-9,999",Male,35-49,College degree,Service,11 to 15,No,4.762173934797756,$75 - $124,6.9,1.2090484016614398,1.552381728662598,Unmarried,,2.0,Single-family,8 to 15,Luxury,Yes,,113.76,65.0,No,27.5,0.0,30.0,0.0,Yes,No,None,No,No,No,No,Yes,No
515,0880-FCGISE-7GH,Zone 2,"2,500-9,999",Female,50-64,Did not complete high school,"Precision Production, Craft, Repair",More than 15,No,4.8283137373023015,$125+,1.7999999999999998,-0.39973157626040384,0.45710834126000277,Unmarried,,1.0,Multiple-Family,More than 25,,Yes,,659.73,40.0,No,4.7,14.25,11.75,0.0,No,No,None,Yes,No,No,No,Yes,No
516,1819-UXPHEA-CW8,Zone 3,"50,000-249,999",Male,18-24,High school degree,"Operation, Fabrication, General Labor",Less than 2,No,3.367295829986474,$25 - $49,13.0,0.794344542305879,0.4427673154388148,Married,High school degree,4.0,Single-family,Less than 3,Economy,No,,161.68,0.0,No,7.7,19.0,9.25,33.8,Yes,No,Other,Yes,Yes,Yes,Yes,Yes,Yes
517,8950-KNQRWT-4Y4,Zone 5,"> 250,000",Female,>65,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,4.564348191467836,$75 - $124,6.4,0.35445808852954414,1.5515104500109063,Unmarried,,1.0,Mobile Home,More than 25,Luxury,No,,1622.04,58.0,No,8.0,0.0,17.75,0.0,No,No,None,No,Yes,No,No,Yes,No
518,3696-IMWPJO-YUU,Zone 5,"10,000-49,999",Male,25-34,Some college,Sales and Office,Less than 2,No,3.295836866004329,$25 - $49,0.8999999999999999,-3.5775169862604757,-1.536861469615796,Married,Some college,2.0,Multiple-Family,4 to 7,Economy,No,Convenience,188.18,11.0,Yes,5.05,12.5,16.0,33.0,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
519,0508-HWRBRL-T1J,Zone 5,"< 2,500",Male,50-64,High school degree,Managerial and Professional,11 to 15,No,4.700480365792417,$75 - $124,3.1,0.6540112638113473,0.39659925566232274,Married,Did not complete high school,2.0,Multiple-Family,16 to 25,Luxury,No,,583.6800000000001,62.0,Yes,26.8,25.75,19.25,0.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes
520,9057-GCFDBF-E8L,Zone 4,"2,500-9,999",Male,35-49,Post-undergraduate degree,Sales and Office,2 to 5,No,5.204006687076795,$125+,3.5000000000000004,0.5385555702037742,1.5382576503517136,Married,College degree,4.0,Single-family,16 to 25,,No,,420.18,44.0,No,10.5,27.25,22.5,75.2,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
521,6803-BKTZRV-ZW6,Zone 3,"> 250,000",Male,50-64,High school degree,Agricultural and Natural Resources,More than 15,No,4.204692619390966,$50 - $74,10.0,1.1277502904114318,1.2840678183237804,Unmarried,,1.0,Multiple-Family,16 to 25,Standard,No,,262.5,65.0,Yes,10.7,0.0,13.75,0.0,Yes,No,Other,No,No,No,Yes,Yes,Yes
522,1815-IHSNTQ-Z4B,Zone 2,"2,500-9,999",Male,>65,High school degree,Sales and Office,More than 15,No,4.143134726391533,$50 - $74,13.3,0.5409832757874207,1.8963154113033445,Unmarried,,1.0,Multiple-Family,16 to 25,Standard,No,,108.39,61.0,No,15.0,0.0,14.0,0.0,No,No,None,Yes,No,No,No,Yes,Yes
523,2430-MVXTPO-GYR,Zone 3,"2,500-9,999",Male,18-24,High school degree,Sales and Office,Less than 2,No,2.70805020110221,Under $25,5.1,-2.088038388905354,-0.44461662365565535,Married,High school degree,4.0,Multiple-Family,4 to 7,,No,,558.4300000000001,12.0,No,6.05,20.25,7.5,0.0,No,No,None,No,No,Yes,Yes,Yes,Yes
524,4977-NZDBDK-KQL,Zone 5,"< 2,500",Male,25-34,College degree,Managerial and Professional,2 to 5,No,3.9889840465642745,$50 - $74,7.000000000000001,0.957210001663018,0.16176164282859345,Married,High school degree,3.0,Single-family,8 to 15,Standard,No,,434.78000000000003,58.0,No,8.2,23.25,44.75,29.3,Yes,No,None,No,Yes,Yes,No,Yes,No
525,1267-NPLRVH-1ZM,Zone 3,"> 250,000",Male,>65,Did not complete high school,Sales and Office,2 to 5,No,3.970291913552122,$50 - $74,17.299999999999997,0.4018231508923889,2.0378970205751017,Married,Did not complete high school,2.0,Single-family,More than 25,Economy,No,,475.67,23.0,No,7.0,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
526,0555-NOHWQP-L23,Zone 5,"2,500-9,999",Male,>65,Did not complete high school,Sales and Office,11 to 15,No,3.5553480614894135,$25 - $49,11.0,0.6141039732194925,0.6941466808930288,Unmarried,,1.0,Single-family,More than 25,Standard,Yes,,363.72,40.0,No,6.85,0.0,0.0,0.0,Yes,No,DSL,No,No,No,No,Yes,Yes
527,2197-YBPUFL-EOK,Zone 3,"> 250,000",Male,25-34,High school degree,"Operation, Fabrication, General Labor",2 to 5,No,3.4657359027997265,$25 - $49,10.8,-0.7188835376621596,1.0881254939439275,Married,High school degree,6.0,Condominium/Townhouse,4 to 7,Economy,No,,488.22,48.0,No,12.85,14.5,15.75,31.05,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
528,6970-AZIBRY-YKB,Zone 5,"> 250,000",Female,18-24,High school degree,Sales and Office,Less than 2,No,2.6390573296152584,Under $25,12.5,-1.254389290239952,0.38168457944276096,Unmarried,,1.0,Single-family,Less than 3,Economy,No,,302.3,13.0,No,3.1,0.0,0.0,0.0,No,No,None,No,No,Yes,No,Yes,No
529,1254-EAPUSN-O9I,Zone 1,"50,000-249,999",Male,>65,Some college,Managerial and Professional,11 to 15,No,4.736198448394496,$75 - $124,6.9,0.730743498173797,1.756024513756357,Unmarried,,1.0,Multiple-Family,More than 25,Standard,Yes,,807.99,68.0,No,33.95,0.0,26.5,0.0,No,No,None,Yes,No,Yes,No,Yes,No
530,2822-IPKUND-W7Q,Zone 3,"> 250,000",Female,50-64,College degree,Managerial and Professional,6 to 10,No,4.07753744390572,$50 - $74,29.9,2.255889738178613,2.091520669392677,Married,High school degree,2.0,Multiple-Family,More than 25,Standard,Yes,Convenience,554.94,66.0,Yes,11.85,64.25,18.25,92.75,Yes,Yes,Cable modem,Yes,Yes,Yes,Yes,Yes,Yes
531,2177-PBUZMT-3FN,Zone 5,"2,500-9,999",Female,35-49,High school degree,Managerial and Professional,6 to 10,No,3.6888794541139363,$25 - $49,6.4,0.45874043696702477,-0.022327411884090636,Married,High school degree,2.0,Single-family,8 to 15,Standard,No,,203.23000000000002,33.0,No,10.75,0.0,11.75,0.0,No,No,Dial-up,Yes,Yes,No,No,Yes,Yes
532,5338-HZDOZD-JW7,Zone 5,"< 2,500",Male,>65,Did not complete high school,Service,More than 15,Yes,3.4965075614664802,$25 - $49,11.899999999999999,-1.1831706766966728,1.286665720170329,Unmarried,,1.0,Condominium/Townhouse,More than 25,Economy,No,Prices,225.13,72.0,No,104.5,70.0,32.0,53.35,Yes,No,None,Yes,Yes,Yes,No,Yes,Yes
533,5766-LZIPAX-YWU,Zone 4,"< 2,500",Male,25-34,High school degree,Service,6 to 10,No,3.091042453358316,Under $25,2.6,-1.313638871880372,-1.1934945600383087,Unmarried,,4.0,Multiple-Family,4 to 7,Economy,No,,261.47,23.0,Yes,3.05,9.75,0.0,0.0,No,No,Dial-up,No,No,Yes,No,Yes,Yes
534,3404-LTVOYZ-W7P,Zone 3,"> 250,000",Male,50-64,College degree,Managerial and Professional,11 to 15,No,4.812184355372417,$75 - $124,19.1,2.170525645098589,2.689893766087694,Married,Some college,4.0,Single-family,16 to 25,Luxury,No,Prices,795.07,20.0,No,3.75,30.5,25.25,29.25,Yes,Yes,None,Yes,Yes,Yes,No,Yes,No
535,1516-MROPXY-KEV,Zone 2,"> 250,000",Female,50-64,College degree,Sales and Office,11 to 15,Yes,3.9889840465642745,$50 - $74,10.8,-0.7135784854324664,1.6756210803983502,Unmarried,,1.0,Single-family,More than 25,Standard,No,,229.4,69.0,No,25.8,0.0,21.5,0.0,Yes,No,None,No,No,No,No,Yes,Yes
536,8685-TDYQRU-HQU,Zone 5,"10,000-49,999",Male,>65,College degree,"Precision Production, Craft, Repair",More than 15,No,3.970291913552122,$50 - $74,8.1,-1.356424927517613,1.395110385524336,Married,Post-undergraduate degree,3.0,Single-family,More than 25,Standard,No,,388.6,70.0,No,26.5,82.0,46.75,71.9,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Yes
537,0403-GXSGMF-AU4,Zone 2,"> 250,000",Male,25-34,Some college,Agricultural and Natural Resources,2 to 5,No,2.995732273553991,Under $25,26.3,0.9177936019989014,1.0138674320885237,Unmarried,,2.0,Multiple-Family,Less than 3,Economy,No,,275.74,36.0,Yes,9.3,0.0,0.0,0.0,Yes,Yes,Cable modem,No,No,No,Yes,Yes,Yes
538,9407-VIVTFR-O6W,Zone 1,"> 250,000",Female,50-64,High school degree,Service,11 to 15,No,4.330733340286331,$75 - $124,13.8,0.8805557764024571,2.088866982326991,Married,High school degree,2.0,Single-family,More than 25,Standard,No,Prices,293.31,35.0,No,16.55,0.0,40.75,0.0,No,No,None,No,No,No,Yes,Yes,Yes
539,7854-QBHUNS-GXQ,Zone 1,"50,000-249,999",Male,25-34,High school degree,Sales and Office,Less than 2,No,3.7376696182833684,$25 - $49,21.3,1.4125014360890644,1.576870504875001,Married,Some college,5.0,Condominium/Townhouse,8 to 15,Economy,Yes,,118.59,34.0,Yes,14.6,19.5,13.0,34.3,Yes,Yes,Other,No,Yes,Yes,Yes,Yes,Yes
540,1462-SSMYZO-KDG,Zone 5,"> 250,000",Male,25-34,High school degree,Managerial and Professional,2 to 5,No,3.6109179126442243,$25 - $49,29.7,1.8827302474332817,1.485591582101671,Unmarried,,1.0,Multiple-Family,4 to 7,Standard,No,,338.55,21.0,No,9.8,39.0,0.0,0.0,No,No,None,No,Yes,No,No,Yes,No
541,0072-HEOBMN-4D5,Zone 5,"< 2,500",Male,18-24,Some college,Managerial and Professional,Less than 2,No,2.833213344056216,Under $25,9.1,-0.21760889581573503,-0.2976516034892714,Unmarried,,1.0,Condominium/Townhouse,Less than 3,Economy,No,,452.93,6.0,No,4.45,0.0,0.0,0.0,No,No,None,No,No,No,Yes,Yes,No
542,4957-HAMNYU-649,Zone 4,"< 2,500",Male,25-34,High school degree,Sales and Office,2 to 5,No,3.295836866004329,$25 - $49,36.6,0.28079944139233254,2.1468445500038564,Unmarried,,1.0,Single-family,8 to 15,Economy,No,Convenience,155.83,32.0,Yes,6.65,34.5,16.75,37.25,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes
543,4376-VJFHYA-I5Z,Zone 4,"< 2,500",Female,50-64,Did not complete high school,Service,More than 15,Yes,2.8903717578961645,Under $25,8.5,-1.7288973524714284,0.3019695190598504,Unmarried,,1.0,Condominium/Townhouse,More than 25,Economy,Yes,,278.04,55.0,No,15.85,30.5,17.25,0.0,No,No,None,Yes,Yes,No,No,Yes,No
544,9475-TEHMKT-MPR,Zone 4,"2,500-9,999",Male,18-24,Some college,Managerial and Professional,Less than 2,No,3.1780538303479458,Under $25,4.7,-0.721201035802522,-0.4434286917799389,Unmarried,,3.0,Condominium/Townhouse,Less than 3,Economy,No,,111.71000000000001,23.0,No,12.1,0.0,0.0,0.0,Yes,No,None,No,No,No,No,Yes,No
545,5682-GLEELG-I6O,Zone 5,"> 250,000",Female,35-49,College degree,Managerial and Professional,6 to 10,No,3.7376696182833684,$25 - $49,3.1,-0.5480291727635349,-0.32308544094517705,Married,College degree,4.0,Single-family,16 to 25,Standard,No,,201.65,16.0,No,6.25,26.75,0.0,39.25,Yes,Yes,Other,Yes,Yes,No,Yes,Yes,Yes
546,4820-DZGBOX-NWW,Zone 1,"> 250,000",Female,50-64,College degree,Service,More than 15,No,5.003946305945459,$125+,18.6,-0.08931001683913362,3.2883809171476805,Married,Some college,6.0,Single-family,More than 25,Luxury,No,,629.03,72.0,No,49.3,0.0,23.25,43.45,Yes,No,Other,Yes,No,No,Yes,Yes,Yes
547,9079-WQXBBQ-YNH,Zone 3,"< 2,500",Male,50-64,Did not complete high school,"Precision Production, Craft, Repair",More than 15,No,4.727387818712341,$75 - $124,4.3999999999999995,-0.934485252866651,1.5215269309216344,Married,Did not complete high school,2.0,Single-family,8 to 15,Luxury,No,,688.25,67.0,No,30.85,29.0,10.25,0.0,Yes,No,None,Yes,Yes,Yes,No,Yes,No
548,5675-CAONXB-069,Zone 1,"> 250,000",Female,35-49,Some college,Sales and Office,2 to 5,No,3.2188758248682006,$25 - $49,6.5,-0.217689700631746,-0.19768903392507636,Married,College degree,4.0,Multiple-Family,16 to 25,Economy,No,,279.99,62.0,No,22.45,0.0,11.25,0.0,No,No,Cable modem,No,No,No,Yes,Yes,Yes
549,7826-NQXDDN-EQJ,Zone 2,"50,000-249,999",Female,50-64,Some college,Managerial and Professional,11 to 15,No,3.7376696182833684,$25 - $49,5.6000000000000005,-0.4540672899473819,0.5405552851966802,Married,College degree,6.0,Single-family,16 to 25,Standard,Yes,,174.51,66.0,No,16.6,0.0,25.25,0.0,Yes,No,None,No,Yes,Yes,No,Yes,No
550,2765-JYUICR-F57,Zone 3,"2,500-9,999",Male,18-24,College degree,Service,Less than 2,No,3.295836866004329,$25 - $49,10.8,-0.4393797633179725,0.8204685810350227,Unmarried,,1.0,Multiple-Family,Less than 3,,Yes,,328.74,5.0,No,3.35,0.0,6.5,35.1,Yes,Yes,Cable modem,Yes,Yes,Yes,Yes,Yes,Yes
551,3871-IACVUT-VY0,Zone 1,"> 250,000",Male,>65,High school degree,Sales and Office,2 to 5,Yes,2.3978952727983707,Under $25,11.0,-0.9709317288333342,-0.18480062715113804,Married,College degree,2.0,Condominium/Townhouse,16 to 25,Economy,Yes,,229.6,51.0,No,18.2,0.0,43.25,0.0,No,No,None,No,No,Yes,No,Yes,No
552,8874-EKNHXB-UAP,Zone 5,"50,000-249,999",Male,50-64,College degree,Managerial and Professional,6 to 10,No,5.983936280687191,$125+,7.3,2.685421833158773,2.66142068105923,Married,Some college,2.0,Single-family,16 to 25,Luxury,No,,2719.57,37.0,No,10.5,26.75,13.0,0.0,No,No,Cable modem,No,No,No,Yes,Yes,Yes
553,1889-JPTURZ-8A6,Zone 5,"50,000-249,999",Female,50-64,Some college,Service,More than 15,No,5.288267030694535,$125+,12.7,2.509306048663724,2.553313149392557,Unmarried,,1.0,Multiple-Family,8 to 15,Luxury,No,,583.14,47.0,Yes,21.75,29.75,7.75,33.7,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Yes
554,9447-KVYYOY-7TR,Zone 4,"> 250,000",Female,18-24,High school degree,Sales and Office,Less than 2,No,3.044522437723423,Under $25,12.2,0.15990210860659032,0.3282989259320516,Married,High school degree,4.0,Condominium/Townhouse,Less than 3,Economy,No,,157.27,24.0,Yes,10.2,19.75,0.0,0.0,Yes,Yes,Other,No,No,No,Yes,Yes,Yes
555,8198-WPMUTO-KMZ,Zone 5,"50,000-249,999",Female,50-64,High school degree,Managerial and Professional,More than 15,No,5.2574953720277815,$125+,3.4000000000000004,-0.18746757486173987,1.7402808945192711,Married,High school degree,2.0,Condominium/Townhouse,More than 25,Luxury,No,,563.17,65.0,No,20.0,0.0,29.0,0.0,Yes,No,None,No,No,No,No,Yes,No
556,8968-HLIITN-1ZC,Zone 3,"50,000-249,999",Male,35-49,High school degree,Sales and Office,2 to 5,No,3.332204510175204,$25 - $49,14.399999999999999,0.9448455351317203,0.37815146361270147,Married,High school degree,3.0,Mobile Home,8 to 15,Economy,No,,476.38,27.0,No,7.8,0.0,7.25,0.0,No,No,None,No,No,Yes,No,Yes,Yes
557,3702-NMKOME-CHP,Zone 3,"10,000-49,999",Female,35-49,High school degree,Service,More than 15,No,4.962844630259907,$125+,11.1,2.41789493950454,1.5370368826250345,Unmarried,,2.0,Multiple-Family,16 to 25,Luxury,No,,283.62,65.0,No,15.6,0.0,11.0,0.0,No,No,None,No,No,No,No,Yes,No
558,5250-XSESEZ-RA7,Zone 5,"< 2,500",Female,25-34,College degree,Agricultural and Natural Resources,2 to 5,No,3.4657359027997265,$25 - $49,1.0,-2.3009863716303487,-1.5148552699481526,Married,High school degree,3.0,Multiple-Family,4 to 7,Economy,Yes,,382.40000000000003,43.0,Yes,7.65,0.0,24.0,53.2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
559,0452-HHKDZD-6WW,Zone 4,"< 2,500",Male,>65,High school degree,Managerial and Professional,More than 15,No,4.852030263919617,$125+,6.9,0.5281215825803841,1.965188269073698,Married,Some college,3.0,Single-family,More than 25,Luxury,No,Convenience,985.4,61.0,No,20.1,36.0,27.5,24.55,No,Yes,None,Yes,Yes,Yes,Yes,Yes,No
560,0562-JYHQSG-VA1,Zone 3,"10,000-49,999",Female,25-34,High school degree,"Operation, Fabrication, General Labor",2 to 5,No,3.8501476017100584,$25 - $49,11.3,-1.0038686329446156,1.5982841397351921,Unmarried,,1.0,Multiple-Family,4 to 7,Economy,No,Prices,234.21,32.0,No,13.6,0.0,0.0,0.0,Yes,No,None,No,No,No,No,Yes,No
561,6022-DCDIHS-WB2,Zone 4,"> 250,000",Male,50-64,High school degree,Managerial and Professional,11 to 15,No,4.430816798843313,$75 - $124,2.7,-0.6335357777589301,0.5523252766239598,Married,High school degree,2.0,Multiple-Family,8 to 15,Luxury,No,,403.84000000000003,25.0,No,6.65,29.25,15.5,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
562,5617-TMUNLZ-SYZ,Zone 1,"2,500-9,999",Female,18-24,Some college,"Operation, Fabrication, General Labor",Less than 2,No,3.367295829986474,$25 - $49,7.3,-0.8594379202813722,0.5268564408385183,Married,Some college,4.0,Multiple-Family,Less than 3,Economy,No,,143.54,12.0,No,3.15,0.0,0.0,14.4,No,Yes,Cable modem,No,Yes,No,Yes,Yes,Yes
563,4921-UVZNIK-6O3,Zone 3,"> 250,000",Male,>65,Some college,Sales and Office,2 to 5,No,3.332204510175204,$25 - $49,11.799999999999999,0.6081468709271769,0.3832031391088192,Married,Some college,2.0,Single-family,More than 25,Economy,No,,1407.58,62.0,Yes,19.5,23.25,26.0,53.35,Yes,Yes,Other,No,No,Yes,Yes,Yes,Yes
564,6799-OAHBSZ-DFT,Zone 4,"2,500-9,999",Female,25-34,College degree,"Operation, Fabrication, General Labor",2 to 5,No,3.4965075614664802,$25 - $49,9.1,0.6423269321632324,0.09721835807362644,Unmarried,,1.0,Single-family,8 to 15,Standard,No,,102.49000000000001,40.0,No,11.5,0.0,22.5,0.0,Yes,No,Dial-up,No,No,No,Yes,Yes,Yes
565,1525-MTFZYD-RL1,Zone 2,"10,000-49,999",Male,35-49,Did not complete high school,Sales and Office,2 to 5,No,4.0943445622221,$50 - $74,11.1,1.4926523791068065,0.7934991744866493,Unmarried,,2.0,Single-family,16 to 25,Standard,No,,522.07,48.0,No,6.3,0.0,9.0,0.0,No,No,None,No,No,No,No,Yes,Yes
566,2058-DOZTHB-IMT,Zone 4,"2,500-9,999",Female,50-64,College degree,Managerial and Professional,2 to 5,No,3.9318256327243257,$50 - $74,6.0,-0.04633717520836528,0.744448474915496,Unmarried,,1.0,Single-family,16 to 25,Standard,No,,579.1800000000001,15.0,No,4.8,0.0,0.0,0.0,Yes,No,None,No,No,No,No,Yes,No
567,5294-NZCFMB-RGO,Zone 3,"2,500-9,999",Male,18-24,College degree,Sales and Office,Less than 2,No,2.8903717578961645,Under $25,11.3,-0.6762900634935223,0.42232222517458734,Married,High school degree,4.0,Multiple-Family,Less than 3,Economy,Yes,Prices,340.97,52.0,Yes,9.5,0.0,12.25,0.0,Yes,No,Cable modem,No,No,No,Yes,Yes,Yes
568,9707-KERUON-NO3,Zone 4,"2,500-9,999",Male,50-64,Did not complete high school,Managerial and Professional,6 to 10,No,3.5263605246161616,$25 - $49,8.6,-0.6090560633814037,0.8671576289079352,Married,Did not complete high school,2.0,Mobile Home,More than 25,,No,,175.28,71.0,No,21.4,75.75,62.0,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
569,8671-PEGNLO-MV7,Zone 5,"10,000-49,999",Female,50-64,Did not complete high school,Service,More than 15,Yes,3.9318256327243257,$50 - $74,12.7,1.2776668479659268,1.060821113238707,Unmarried,,1.0,Single-family,16 to 25,,No,Prices,151.22,58.0,No,10.65,29.75,52.5,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
570,9672-TBGEQS-D5B,Zone 4,"50,000-249,999",Female,35-49,High school degree,Managerial and Professional,2 to 5,No,3.5553480614894135,$25 - $49,10.4,-0.42838579149273287,1.0947515121189404,Married,High school degree,2.0,Multiple-Family,4 to 7,Standard,No,Convenience,135.34,15.0,No,4.05,0.0,0.0,0.0,No,No,None,No,Yes,No,No,Yes,No
571,8140-VNVUEN-7GS,Zone 2,"10,000-49,999",Female,25-34,High school degree,Agricultural and Natural Resources,6 to 10,No,2.8903717578961645,Under $25,11.1,-0.7266708725990889,0.4150747868865963,Married,Did not complete high school,2.0,Single-family,4 to 7,Economy,No,Convenience,259.85,29.0,Yes,7.8,21.75,6.75,0.0,No,No,Cable modem,Yes,No,No,No,Yes,Yes
